Customer ID,Product ID,Product Rating,Purchase Date,Return Date,clean_review,duplicate_count,duplicate_score,max_similarity,similarity_score,keyword_count,keyword_score,review_similarity_score,review_flag
CUST01001,PROD-KS-2535,3,15-09-2022,26-09-2022,eva is on her to find a way to escape her abusive mother when she meets a handsome stranger she doesnt know is the man she wants but the man she wants is strong and handsome she is in love with him and will do anything to get her happily ever after i loved this book i cant wait to see how the,1,0,35.65,0,0,0,0,Genuine
CUST01002,PROD-CSaJ-4257,5,27-06-2023,06-07-2023,this is my second glamorise and i love the look i will keep this bag in my wardrobei bought this for my son he loves it he wears it often and its comfortable i have been wearing it every day for about years and it still holds up i love it i have a wide foot and i can wear it on my feet all,1,0,38.53,0,0,0,0,Genuine
CUST01003,PROD-KS-5012,4,16-02-2023,,i absolutely love this series the ravens are the hottest protection force there is they will do anything to protect and provide for their fated cant wait to start the next book,1,0,26.56,0,0,0,0,Genuine
CUST01004,PROD-MaT-9785,5,04-02-2024,14-02-2024,probably best movie rutger howerton has made not too many people make a movie like this if you want to watch a movie with rutger howerton you will like this one it is a very good movie,1,0,41.32,0,0,0,0,Genuine
CUST01005,PROD-CSaJ-1434,5,23-05-2023,,unfortunately the black didnt work for a lot of my dresses i wanted to love it the quality is beautiful and shipment and packing super cute hopefully if i order the cream will work out better for me if i order the other color will leave another review with pictures of what it worked with,1,0,19.76,0,0,0,0,Genuine
CUST01006,PROD-SaO-6925,3,17-04-2023,,i have mixed emotions about this water filter system i love how it is hung from a tree and doesnt require pumping but i did run into problems i used it for a week in boundary waters at least the bag after daysproviding water for people the filter was completely clogged and is incapable,1,0,20.01,0,0,0,0,Genuine
CUST01007,PROD-CSaJ-1434,5,01-05-2022,09-05-2022,i really like these shoes they have the wide toe box that most people need and the heel is a little too wide i am a d and these are a little large for,1,0,40.09,0,0,0,0,Genuine
CUST01008,PROD-MaT-2674,4,18-11-2024,,this is a strong production filled with beautiful and dramatic singing and wixells playing a dual role tightens the story some artistic lapses in the directing are made up for by the exceptional final act,1,0,13.47,0,0,0,0,Genuine
CUST01009,PROD-TaHI-3677,4,15-03-2023,27-03-2023,i have had this in use for over a year and i have not had a problem the light is bright enough to see your feet and then the light goes on and off again the bulb is not dimmable so it will not last long i have had no issues with it i have the option of changing the color of the light to a wh,1,0,36.01,0,0,0,0,Genuine
CUST01010,PROD-MaT-8527,4,26-08-2024,,i had heard about for a long time before ever seeing it i finally saw an episode a few weeks ago and thought it was quite good i ended up deciding to watch the first season it was certainly a highly entertaining show with no end to the action it contains murder espionage terrorism trai,1,0,22.37,0,0,0,0,Genuine
